,Element,Year,Value,Country,PopTotal,ValuePerCapita
71,Export Quantity,2014,1677935,Colombia,46967.706,35.72529175685097
72,Feed,2014,173000,Colombia,46967.706,3.683381939071072
73,Food supply,2014,1351184,Colombia,46967.706,28.76836267029946
74,Loss,2014,65349,Colombia,46967.706,1.391360267840205
75,Residuals,2014,0,Colombia,46967.706,0.0
76,Export Quantity,2014,2169723,Costa Rica,4795.39,452.4601752933546
77,Feed,2014,179154,Costa Rica,4795.39,37.35963081209245
78,Food supply,2014,756,Costa Rica,4795.39,0.1576514110426889
79,Loss,2014,64586,Costa Rica,4795.39,13.468351896300405
80,Processed,2014,1302,Costa Rica,4795.39,0.27151076346240866
81,Residuals,2014,0,Costa Rica,4795.39,0.0
82,Tourist consumption,2014,15,Costa Rica,4795.39,0.0031280041873549386
83,Export Quantity,2014,3181,Croatia,4255.518,0.7475000693217606
84,Food supply,2014,48524,Croatia,4255.518,11.402607156167592
85,Loss,2014,2721,Croatia,4255.518,0.6394051205987145
86,Residuals,2014,0,Croatia,4255.518,0.0
87,Export Quantity,2014,38,Cyprus,1152.297,0.03297760907127242
88,Food supply,2014,8945,Cyprus,1152.297,7.762755609013995
89,Loss,2014,1091,Cyprus,1152.297,0.9468045130725846
90,Other uses (non-food),2014,326,Cyprus,1152.297,0.28291317255881077
91,Residuals,2014,0,Cyprus,1152.297,0.0
92,Tourist consumption,2014,510,Cyprus,1152.297,0.4425942270091825
93,Export Quantity,2014,44801,Czechia,10591.104,4.230059491437342
94,Food supply,2014,85900,Czechia,10591.104,8.110580351207958
95,Loss,2014,9336,Czechia,10591.104,0.881494507088213
96,Residuals,2014,0,Czechia,10591.104,0.0
97,Export Quantity,2014,326126,Côte d'Ivoire,22647.672000000002,14.39997894706352
98,Food supply,2014,0,Côte d'Ivoire,22647.672000000002,0.0
99,Loss,2014,29548,Côte d'Ivoire,22647.672000000002,1.3046815584400904
100,Processed,2014,2540,Côte d'Ivoire,22647.672000000002,0.11215280758216561
101,Residuals,2014,-5401,Côte d'Ivoire,22647.672000000002,-0.2384792573823923
102,Export Quantity,2014,7012,Denmark,5664.1990000000005,1.2379508558933046
103,Food supply,2014,75623,Denmark,5664.1990000000005,13.351049283402647
104,Loss,2014,4349,Denmark,5664.1990000000005,0.7678049447062152
105,Residuals,2014,0,Denmark,5664.1990000000005,0.0
106,Export Quantity,2014,600,Dominica,71.09100000000001,8.439886905515465
107,Feed,2014,1809,Dominica,71.09100000000001,25.446259020129126
108,Food supply,2014,4429,Dominica,71.09100000000001,62.300431840879995
109,Loss,2014,11299,Dominica,71.09100000000001,158.93713690903206
110,Other uses (non-food),2014,0,Dominica,71.09100000000001,0.0
111,Residuals,2014,0,Dominica,71.09100000000001,0.0
112,Tourist consumption,2014,5260,Dominica,71.09100000000001,73.98967520501891
113,Export Quantity,2014,500000,Dominican Republic,10165.181999999999,49.18751085814303
114,Food supply,2014,357026,Dominican Republic,10165.181999999999,35.122440503278746
115,Loss,2014,93450,Dominican Republic,10165.181999999999,9.193145779386931
116,Processed,2014,160482,Dominican Republic,10165.181999999999,15.787420235073018
117,Residuals,2014,0,Dominican Republic,10165.181999999999,0.0
118,Tourist consumption,2014,4883,Dominican Republic,10165.181999999999,0.4803652310406248
119,Export Quantity,2014,5746340,Ecuador,15951.832,360.23072459639747
120,Food supply,2014,369390,Ecuador,15951.832,23.15658790789672
121,Loss,2014,35858,Ecuador,15951.832,2.247892279708061
122,Processed,2014,604665,Ecuador,15951.832,37.905677542240916
123,Residuals,2014,0,Ecuador,15951.832,0.0
124,Export Quantity,2014,0,El Salvador,6295.124,0.0
125,Feed,2014,3640,El Salvador,6295.124,0.5782253058081144
126,Food supply,2014,58157,El Salvador,6295.124,9.238420085132557
127,Loss,2014,10913,El Salvador,6295.124,1.7335639456824044
128,Processed,2014,47,El Salvador,6295.124,0.00746609598158829
129,Residuals,2014,0,El Salvador,6295.124,0.0
130,Export Quantity,2014,60,Estonia,1316.273,0.04558324906763263
131,Food supply,2014,14077,Estonia,1316.273,10.694589952084408
132,Residuals,2014,0,Estonia,1316.273,0.0
133,Export Quantity,2014,2365,Eswatini,1095.022,2.159773958879365
134,Food supply,2014,5677,Eswatini,1095.022,5.184370724971736
135,Loss,2014,519,Eswatini,1095.022,0.4739630801938226
136,Residuals,2014,0,Eswatini,1095.022,0.0
137,Export Quantity,2014,12738,Ethiopia,98094.26400000001,0.12985468752790683
138,Food supply,2014,422219,Ethiopia,98094.26400000001,4.304217013137485
139,Loss,2014,43296,Ethiopia,98094.26400000001,0.4413713731518491
140,Residuals,2014,0,Ethiopia,98094.26400000001,0.0
141,Export Quantity,2014,10,Fiji,866.447,0.011541386836125003
142,Food supply,2014,4310,Fiji,866.447,4.9743377263698765
143,Loss,2014,421,Fiji,866.447,0.4858923858008626
144,Other uses (non-food),2014,28,Fiji,866.447,0.032315883141150005
145,Residuals,2014,0,Fiji,866.447,0.0
146,Tourist consumption,2014,253,Fiji,866.447,0.29199708695396254
147,Export Quantity,2014,450,Finland,5461.41,0.08239630425109999
148,Food supply,2014,80065,Finland,5461.41,14.660133555254047
149,Loss,2014,4283,Finland,5461.41,0.7842297135721361
150,Processed,2014,854,Finland,5461.41,0.1563698751787542
151,Residuals,2014,0,Finland,5461.41,0.0
152,Export Quantity,2014,306525,France,64193.55,4.775012442838883
153,Food supply,2014,260040,France,64193.55,4.050874270078536
154,Loss,2014,29819,France,64193.55,0.4645170737558524
155,Processed,2014,0,France,64193.55,0.0
156,Residuals,2014,0,France,64193.55,0.0
157,Export Quantity,2014,20,Gabon,1883.8010000000002,0.010616832669692816
158,Food supply,2014,15715,Gabon,1883.8010000000002,8.34217627021113
159,Loss,2014,1748,Gabon,1883.8010000000002,0.9279111753311522
160,Residuals,2014,0,Gabon,1883.8010000000002,0.0
161,Export Quantity,2014,129,Georgia,4035.31,0.031967804208350784
162,Food supply,2014,32209,Georgia,4035.31,7.981790742223026
163,Residuals,2014,0,Georgia,4035.31,0.0
164,Export Quantity,2014,368031,Germany,81450.37,4.518469345197572
165,Food supply,2014,968400,Germany,81450.37,11.8894487526576
166,Loss,2014,52039,Germany,81450.37,0.6389044027669857
167,Residuals,2014,0,Germany,81450.37,0.0
168,Export Quantity,2014,48453,Ghana,27224.48,1.7797585114573355
169,Food supply,2014,31724,Ghana,27224.48,1.1652747821078677
170,Loss,2014,7328,Ghana,27224.48,0.2691695121449519
171,Residuals,2014,0,Ghana,27224.48,0.0
172,Export Quantity,2014,30452,Greece,10701.46,2.8455930312312527
173,Food supply,2014,99152,Greece,10701.46,9.265277821904675
174,Loss,2014,278,Greece,10701.46,0.02597776378176436
175,Other uses (non-food),2014,10967,Greece,10701.46,1.024813436671258
176,Residuals,2014,0,Greece,10701.46,0.0
177,Export Quantity,2014,2063650,Guatemala,15923.238000000001,129.59989670442656
178,Feed,2014,224684,Guatemala,15923.238000000001,14.110446631520547
179,Food supply,2014,70171,Guatemala,15923.238000000001,4.406829816900306
180,Loss,2014,1058224,Guatemala,15923.238000000001,66.45783979363996
181,Processed,2014,19298,Guatemala,15923.238000000001,1.2119394309122302
182,Residuals,2014,0,Guatemala,15923.238000000001,0.0
183,Tourist consumption,2014,46,Guatemala,15923.238000000001,0.002888859665351984
184,Export Quantity,2014,0,Guyana,763.3710000000001,0.0
185,Food supply,2014,10069,Guyana,763.3710000000001,13.190178825237007
186,Loss,2014,1777,Guyana,763.3710000000001,2.32783273139797
187,Residuals,2014,0,Guyana,763.3710000000001,0.0
188,Export Quantity,2014,635645,Honduras,8955.579,70.97754371883717
189,Feed,2014,0,Honduras,8955.579,0.0
190,Food supply,2014,29016,Honduras,8955.579,3.2399915181363483
191,Loss,2014,30000,Honduras,8955.579,3.34986716101773
192,Residuals,2014,0,Honduras,8955.579,0.0
193,Tourist consumption,2014,334,Honduras,8955.579,0.037295187725997395
194,Export Quantity,2014,3415,Hungary,9804.991,0.34829200761122575
195,Food supply,2014,34258,Hungary,9804.991,3.4939348745960093
196,Loss,2014,1983,Hungary,9804.991,0.20224393882666492
197,Residuals,2014,0,Hungary,9804.991,0.0
198,Export Quantity,2014,7,Iceland,328.592,0.021303014072162438
199,Food supply,2014,3549,Iceland,328.592,10.800628134586356
200,Loss,2014,72,Iceland,328.592,0.21911671617081366
201,Residuals,2014,0,Iceland,328.592,0.0
202,Tourist consumption,2014,-34,Iceland,328.592,-0.10347178263621756
203,Export Quantity,2014,54496,India,1295600.768,0.0420623399939201
204,Food supply,2014,23725148,India,1295600.768,18.312082383699238
205,Loss,2014,5944911,India,1295600.768,4.588536180923289
206,Residuals,2014,0,India,1295600.768,0.0
207,Export Quantity,2014,167,Indonesia,255128.076,0.0006545731956211671
208,Food supply,2014,6012722,Indonesia,255128.076,23.567464993543087
209,Loss,2014,574730,Indonesia,255128.076,2.25271169293026
210,Processed,2014,274546,Indonesia,255128.076,1.0761104944012512
211,Residuals,2014,0,Indonesia,255128.076,0.0
212,Tourist consumption,2014,946,Indonesia,255128.076,0.003707941575195354
213,Export Quantity,2014,492,Ireland,4626.852,0.10633579807610012
214,Food supply,2014,45615,Ireland,4626.852,9.858754937482331
215,Loss,2014,3665,Ireland,4626.852,0.7921152437985913
216,Processed,2014,23522,Ireland,4626.852,5.083802118589486
217,Residuals,2014,0,Ireland,4626.852,0.0
218,Export Quantity,2014,50648,Italy,60409.622,0.8384094838401737
219,Food supply,2014,640470,Italy,60409.622,10.602118980317407
220,Loss,2014,27,Italy,60409.622,0.00044694866655513917
221,Processed,2014,0,Italy,60409.622,0.0
222,Residuals,2014,0,Italy,60409.622,0.0
223,Export Quantity,2014,14,Japan,128168.63,0.0001092310965639564
224,Food supply,2014,785626,Japan,128168.63,6.129627819225344
225,Loss,2014,160914,Japan,128168.63,1.2554866194637486
226,Residuals,2014,0,Japan,128168.63,0.0
227,Export Quantity,2014,22,Jordan,8918.822,0.002466693471402389
228,Food supply,2014,44337,Jordan,8918.822,4.971172201889442
229,Loss,2014,3140,Jordan,8918.822,0.3520644318274319
230,Residuals,2014,0,Jordan,8918.822,0.0
231,Export Quantity,2014,33,Kazakhstan,17302.619,0.0019072257211466082
232,Food supply,2014,46121,Kazakhstan,17302.619,2.665550226818264
233,Residuals,2014,0,Kazakhstan,17302.619,0.0
234,Export Quantity,2014,1,Kenya,46700.062999999995,2.141324734401322e-05
235,Food supply,2014,1397441,Kenya,46700.062999999995,29.92374978166518
236,Loss,2014,246698,Kenya,46700.062999999995,5.282605293273374
237,Residuals,2014,0,Kenya,46700.062999999995,0.0
238,Tourist consumption,2014,515,Kenya,46700.062999999995,0.011027822382166808
239,Export Quantity,2014,77458,Kuwait,3690.9390000000003,20.985987576603133
240,Food supply,2014,62381,Kuwait,3690.9390000000003,16.90111920029022
241,Loss,2014,0,Kuwait,3690.9390000000003,0.0
242,Residuals,2014,0,Kuwait,3690.9390000000003,0.0
243,Export Quantity,2014,50344,Lao People's Democratic Republic,6639.763000000001,7.582198340513057
244,Food supply,2014,431455,Lao People's Democratic Republic,6639.763000000001,64.9804819840708
245,Loss,2014,25429,Lao People's Democratic Republic,6639.763000000001,3.8298053710652016
246,Residuals,2014,0,Lao People's Democratic Republic,6639.763000000001,0.0
247,Tourist consumption,2014,1352,Lao People's Democratic Republic,6639.763000000001,0.2036217256549669
248,Export Quantity,2014,16997,Latvia,2021.22,8.409277565034978
249,Food supply,2014,12748,Latvia,2021.22,6.3070818614500155
250,Residuals,2014,0,Latvia,2021.22,0.0
251,Export Quantity,2014,27634,Lebanon,6261.045999999999,4.413639510075473
252,Food supply,2014,107504,Lebanon,6261.045999999999,17.17029390935636
253,Loss,2014,15015,Lebanon,6261.045999999999,2.3981615851408855
254,Residuals,2014,0,Lebanon,6261.045999999999,0.0
255,Export Quantity,2014,8685,Lithuania,2971.498,2.922768246857309
256,Food supply,2014,23571,Lithuania,2971.498,7.932362734216883
257,Processed,2014,1709,Lithuania,2971.498,0.5751307926170571
258,Residuals,2014,0,Lithuania,2971.498,0.0
259,Export Quantity,2014,168,Luxembourg,554.512,0.3029690971520905
260,Food supply,2014,4221,Luxembourg,554.512,7.612098565946274
261,Loss,2014,231,Luxembourg,554.512,0.4165825085841245
262,Residuals,2014,0,Luxembourg,554.512,0.0
263,Export Quantity,2014,25,Madagascar,23589.897,0.0010597757166977031
264,Food supply,2014,328574,Madagascar,23589.897,13.928589853529246
265,Loss,2014,30035,Madagascar,23589.897,1.2732145460406206
266,Residuals,2014,0,Madagascar,23589.897,0.0
267,Export Quantity,2014,20895,Malaysia,29866.606,0.6996107960844296
268,Food supply,2014,247421,Malaysia,29866.606,8.284202095142648
269,Loss,2014,56260,Malaysia,29866.606,1.883709183427136
270,Residuals,2014,0,Malaysia,29866.606,0.0
271,Export Quantity,2014,0,Mali,16934.213,0.0
272,Food supply,2014,143386,Mali,16934.213,8.467237302377146
273,Loss,2014,11420,Mali,16934.213,0.6743744158644988
274,Residuals,2014,0,Mali,16934.213,0.0
275,Export Quantity,2014,0,Mauritius,1257.351,0.0
276,Food supply,2014,7793,Mauritius,1257.351,6.197951089234429
277,Loss,2014,266,Mauritius,1257.351,0.21155588216814555
278,Other uses (non-food),2014,550,Mauritius,1257.351,0.43742757591157916
279,Residuals,2014,0,Mauritius,1257.351,0.0
280,Tourist consumption,2014,223,Mauritius,1257.351,0.177356998960513
281,Export Quantity,2014,386161,Mexico,120355.13699999999,3.208512819855791
282,Food supply,2014,1583934,Mexico,120355.13699999999,13.160501823864818
283,Loss,2014,180103,Mexico,120355.13699999999,1.4964296870851472
284,Processed,2014,479,Mexico,120355.13699999999,0.003979888286779152
285,Residuals,2014,0,Mexico,120355.13699999999,0.0
286,Export Quantity,2014,0,Montenegro,626.65,0.0
287,Food supply,2014,9844,Montenegro,626.65,15.708928428947578
288,Residuals,2014,0,Montenegro,626.65,0.0
289,Export Quantity,2014,150,Morocco,34192.358,0.004386945176463115
290,Food supply,2014,333103,Morocco,34192.358,9.742030660769286
291,Loss,2014,28682,Morocco,34192.358,0.8388424103421004
292,Residuals,2014,0,Morocco,34192.358,0.0
293,Export Quantity,2014,144698,Mozambique,26286.192000000003,5.504715175176381
294,Food supply,2014,401570,Mozambique,26286.192000000003,15.276841925220662
295,Loss,2014,28751,Mozambique,26286.192000000003,1.0937681654307325
296,Residuals,2014,0,Mozambique,26286.192000000003,0.0
297,Export Quantity,2014,2340,Myanmar,52280.816,0.04475829145436445
298,Food supply,2014,0,Myanmar,52280.816,0.0
299,Residuals,2014,0,Myanmar,52280.816,0.0
300,Export Quantity,2014,1,Namibia,2273.426,0.00043986476797573356
301,Food supply,2014,3272,Namibia,2273.426,1.4392375208166002
302,Residuals,2014,0,Namibia,2273.426,0.0
303,Export Quantity,2014,12,Nepal,26905.982000000004,0.000445997473721643
304,Food supply,2014,215040,Nepal,26905.982000000004,7.992274729091842
305,Loss,2014,17440,Nepal,26905.982000000004,0.6481829951421211
306,Residuals,2014,0,Nepal,26905.982000000004,0.0
307,Tourist consumption,2014,66,Nepal,26905.982000000004,0.002452986105469036
308,Export Quantity,2014,306141,Netherlands,16892.517,18.1228765375817
309,Food supply,2014,124653,Netherlands,16892.517,7.37918452294587
310,Loss,2014,4481,Netherlands,16892.517,0.2652653834831127
311,Processed,2014,12778,Netherlands,16892.517,0.7564296072633818
312,Residuals,2014,0,Netherlands,16892.517,0.0
313,Export Quantity,2014,40,New Zealand,4567.522,0.008757483817264591
314,Food supply,2014,39135,New Zealand,4567.522,8.568103229716245
315,Loss,2014,7391,New Zealand,4567.522,1.6181640723350648
316,Processed,2014,27343,New Zealand,4567.522,5.986397000386643
317,Residuals,2014,0,New Zealand,4567.522,0.0
318,Export Quantity,2014,64786,Nicaragua,6142.734,10.546769565473614
319,Food supply,2014,0,Nicaragua,6142.734,0.0
320,Loss,2014,5053,Nicaragua,6142.734,0.8225978855669153
321,Residuals,2014,-5588,Nicaragua,6142.734,-0.9096926547690327
322,Export Quantity,2014,74,Nigeria,176404.931,0.00041948940758351023
323,Residuals,2014,0,Nigeria,176404.931,0.0
324,Export Quantity,2014,1,North Macedonia,2077.78,0.00048128290771881524
325,Food supply,2014,0,North Macedonia,2077.78,0.0
326,Residuals,2014,0,North Macedonia,2077.78,0.0
327,Export Quantity,2014,0,Norway,5142.269,0.0
328,Food supply,2014,80341,Norway,5142.269,15.623647848838713
329,Loss,2014,4228,Norway,5142.269,0.8222051394044146
330,Residuals,2014,0,Norway,5142.269,0.0
331,Export Quantity,2014,43249,Pakistan,195305.012,0.22144336981992047
332,Food supply,2014,66729,Pakistan,195305.012,0.3416655789662992
333,Loss,2014,10751,Pakistan,195305.012,0.05504723043154674
334,Residuals,2014,0,Pakistan,195305.012,0.0
335,Export Quantity,2014,255961,Panama,3901.3109999999997,65.60897093310429
336,Feed,2014,12598,Panama,3901.3109999999997,3.229170912034442
337,Food supply,2014,42331,Panama,3901.3109999999997,10.850455141874104
338,Loss,2014,8063,Panama,3901.3109999999997,2.0667411544478256
339,Processed,2014,0,Panama,3901.3109999999997,0.0
340,Residuals,2014,2,Panama,3901.3109999999997,0.0005126481841616832
341,Export Quantity,2014,21937,Paraguay,6599.524,3.324027611688358
342,Feed,2014,6850,Paraguay,6599.524,1.0379536463538885
343,Food supply,2014,23907,Paraguay,6599.524,3.6225339888149506
344,Loss,2014,17565,Paraguay,6599.524,2.6615555909789856
345,Residuals,2014,0,Paraguay,6599.524,0.0
346,Export Quantity,2014,159577,Peru,30090.372000000003,5.303257799538004
347,Food supply,2014,66019,Peru,30090.372000000003,2.19402405526924
348,Loss,2014,14400,Peru,30090.372000000003,0.4785583907038437
349,Processed,2014,3,Peru,30090.372000000003,9.969966472996744e-05
350,Residuals,2014,0,Peru,30090.372000000003,0.0
351,Export Quantity,2014,3114785,Philippines,100513.13699999999,30.98883482265607
352,Feed,2014,166691,Philippines,100513.13699999999,1.6584001352977376
353,Food supply,2014,1947645,Philippines,100513.13699999999,19.37701934424751
354,Loss,2014,477959,Philippines,100513.13699999999,4.75518936395349
355,Residuals,2014,0,Philippines,100513.13699999999,0.0
356,Export Quantity,2014,19722,Poland,38091.095,0.5177588095065264
357,Food supply,2014,90252,Poland,38091.095,2.3693726840879736
358,Loss,2014,30541,Poland,38091.095,0.8017884495050615
359,Processed,2014,164893,Poland,38091.095,4.3289120462407285
360,Residuals,2014,0,Poland,38091.095,0.0
361,Export Quantity,2014,5838,Portugal,10418.224,0.5603642233071586
362,Food supply,2014,129023,Portugal,10418.224,12.384356489167443
363,Loss,2014,15342,Portugal,10418.224,1.472611838639676
364,Processed,2014,3219,Portugal,10418.224,0.30897780658200474
365,Residuals,2014,0,Portugal,10418.224,0.0
366,Export Quantity,2014,544,Republic of Korea,50607.904,0.010749309040737984
367,Food supply,2014,340624,Republic of Korea,50607.904,6.730648240243263
368,Loss,2014,17956,Republic of Korea,50607.904,0.3548062373814177
369,Residuals,2014,0,Republic of Korea,50607.904,0.0
370,Export Quantity,2014,0,Republic of Moldova,4073.407,0.0
371,Food supply,2014,7136,Republic of Moldova,4073.407,1.751850477990537
372,Processed,2014,2624,Republic of Moldova,4073.407,0.6441782026691661
373,Residuals,2014,0,Republic of Moldova,4073.407,0.0
374,Export Quantity,2014,275,Romania,20035.928,0.013725343792411313
375,Food supply,2014,60178,Romania,20035.928,3.0035045045081015
376,Loss,2014,3182,Romania,20035.928,0.15881470526346472
377,Residuals,2014,0,Romania,20035.928,0.0
378,Export Quantity,2014,34119,Russian Federation,144664.837,0.23584860500689606
379,Food supply,2014,1240524,Russian Federation,144664.837,8.575159145273153
380,Residuals,2014,0,Russian Federation,144664.837,0.0
381,Export Quantity,2014,1,Rwanda,11083.628999999999,9.022315705442686e-05
382,Food supply,2014,797386,Rwanda,11083.628999999999,71.94268231100122
383,Loss,2014,241819,Rwanda,11083.628999999999,21.817673615744447
384,Residuals,2014,0,Rwanda,11083.628999999999,0.0
385,Export Quantity,2014,0,Saint Kitts and Nevis,50.776,0.0
386,Food supply,2014,0,Saint Kitts and Nevis,50.776,0.0
387,Residuals,2014,0,Saint Kitts and Nevis,50.776,0.0
388,Tourist consumption,2014,0,Saint Kitts and Nevis,50.776,0.0
389,Export Quantity,2014,11101,Saint Lucia,178.30700000000002,62.257791337412435
390,Feed,2014,1346,Saint Lucia,178.30700000000002,7.548778230804174
391,Food supply,2014,2432,Saint Lucia,178.30700000000002,13.63939721940249
392,Loss,2014,551,Saint Lucia,178.30700000000002,3.0901759325208764
393,Other uses (non-food),2014,0,Saint Lucia,178.30700000000002,0.0
394,Residuals,2014,0,Saint Lucia,178.30700000000002,0.0
395,Tourist consumption,2014,147,Saint Lucia,178.30700000000002,0.8244208023240814
396,Export Quantity,2014,10,Samoa,192.22,0.052023722817604826
397,Feed,2014,3416,Samoa,192.22,17.771303714493808
398,Food supply,2014,15172,Samoa,192.22,78.93039225887004
399,Loss,2014,1908,Samoa,192.22,9.926126313599001
400,Other uses (non-food),2014,0,Samoa,192.22,0.0
401,Residuals,2014,0,Samoa,192.22,0.0
402,Tourist consumption,2014,2277,Samoa,192.22,11.845801685568619
403,Export Quantity,2014,5917,Saudi Arabia,30916.603,0.19138583886463853
404,Food supply,2014,193718,Saudi Arabia,30916.603,6.2658242239614745
405,Loss,2014,6174,Saudi Arabia,30916.603,0.19969852444655709
406,Residuals,2014,0,Saudi Arabia,30916.603,0.0
407,Export Quantity,2014,10,Senegal,14174.74,0.0007054803121609285
408,Food supply,2014,48153,Senegal,14174.74,3.397099347148519
409,Loss,2014,2979,Senegal,14174.74,0.2101625849927406
410,Residuals,2014,0,Senegal,14174.74,0.0
411,Export Quantity,2014,59,Serbia,8898.284,0.00663049190158462
412,Food supply,2014,45890,Serbia,8898.284,5.157174124808783
413,Residuals,2014,0,Serbia,8898.284,0.0
414,Export Quantity,2014,15748,Slovakia,5428.798000000001,2.900826297091916
415,Food supply,2014,31276,Slovakia,5428.798000000001,5.761127969764209
416,Loss,2014,2545,Slovakia,5428.798000000001,0.4687962233997286
417,Processed,2014,1334,Slovakia,5428.798000000001,0.2457265862535316
418,Residuals,2014,0,Slovakia,5428.798000000001,0.0
419,Export Quantity,2014,25730,Slovenia,2067.488,12.44505409463078
420,Food supply,2014,26639,Slovenia,2067.488,12.884718073333438
421,Loss,2014,5819,Slovenia,2067.488,2.814526613939235
422,Residuals,2014,0,Slovenia,2067.488,0.0
423,Export Quantity,2014,7540,South Africa,54544.184,0.13823655332344875
424,Food supply,2014,419074,South Africa,54544.184,7.683202300725592
425,Loss,2014,38269,South Africa,54544.184,0.7016146762778595
426,Residuals,2014,0,South Africa,54544.184,0.0
427,Export Quantity,2014,98928,Spain,46777.927,2.114843609893187
428,Food supply,2014,240101,Spain,46777.927,5.1327841013561795
429,Loss,2014,81135,Spain,46777.927,1.7344719016727697
430,Processed,2014,203952,Spain,46777.927,4.360005093855484
431,Residuals,2014,0,Spain,46777.927,0.0
432,Export Quantity,2014,2,Sri Lanka,20788.512,9.620698201006403e-05
433,Residuals,2014,0,Sri Lanka,20788.512,0.0
